$GPRMC,120000,A,3751.65,N,12218.45,W,000.0,360.0,280425,015.5,E*60
$GPRMC,120005,A,3751.66,N,12218.46,W,000.0,360.0,280425,015.5,E*65
$GPRMC,120010,A,3751.67,N,12218.47,W,000.0,360.0,280425,015.5,E*61
$GPRMC,120015,A,3751.68,N,12218.48,W,000.0,360.0,280425,015.5,E*64
$GPRMC,120020,A,3751.69,N,12218.49,W,000.0,360.0,280425,015.5,E*62
$GPRMC,120025,A,3751.70,N,12218.50,W,000.0,360.0,280425,015.5,E*67
$GPRMC,120030,A,3751.71,N,12218.51,W,000.0,360.0,280425,015.5,E*63
$GPRMC,120035,A,3745.00,N,12210.00,W,000.0,360.0,280425,015.5,E*69
$GPRMC,120040,A,3745.01,N,12210.01,W,000.0,360.0,280425,015.5,E*6B
$GPRMC,120045,A,3745.02,N,12210.02,W,000.0,360.0,280425,015.5,E*6E
